school_state,resource_type,poverty_level,date_posted,total_donations,num_projects,grade_level
CA,Supplies,high,2010-06-06,155.0,1,Grades 9-12
CA,Books,high,2010-10-25,814.93,1,Grades PreK-2
CA,Books,high,2010-10-23,248.51,1,Grades PreK-2
CA,Supplies,high,2010-09-18,413.89,1,Grades 3-5
CA,Supplies,high,2010-10-14,183.1,1,Grades 6-8
CA,Books,high,2010-10-17,615.06,1,Grades 6-8
CA,Technology,high,2010-09-05,585.98,1,Grades 6-8
CA,Supplies,high,2010-09-17,347.13,1,Grades 9-12
CA,Technology,high,2010-10-13,731.4,1,Grades PreK-2
CA,Supplies,high,2010-09-01,303.48,1,Grades 6-8
CA,Technology,low,2010-09-19,511.94,1,Grades 6-8
CA,Technology,low,2010-09-19,511.94,1,Grades 6-8
CA,Technology,high,2010-10-25,426.89,1,Grades 9-12
CA,Other,high,2010-09-10,250.96,1,Grades 3-5
CA,Supplies,high,2010-08-25,504.42,1,Grades 9-12
CA,Books,high,2010-05-27,479.41,1,Grades 9-12
CA,Books,high,2010-05-27,479.41,1,Grades 9-12
CA,Other,low,2010-09-20,179.22,1,Grades 3-5
CA,Technology,high,2010-10-05,938.47,1,Grades 9-12
CA,Technology,high,2010-10-05,938.47,1,Grades 9-12
TX,Supplies,high,2010-10-21,269.76,1,Grades PreK-2
TX,Supplies,high,2010-10-21,269.76,1,Grades PreK-2
CA,Supplies,high,2010-10-21,269.76,2,Grades PreK-2
TX,Other,high,2010-09-28,201.88,1,Grades 3-5
TX,Supplies,high,2010-10-10,494.49,1,Grades 6-8
CA,Technology,high,2010-10-18,309.89,1,Grades 3-5
CA,Supplies,high,2010-09-27,140.0,1,Grades 3-5
TX,Technology,high,2010-09-08,893.66,1,Grades 6-8
CA,Technology,high,2010-10-23,315.13,1,Grades PreK-2
CA,Books,high,2010-09-03,426.89,1,Grades 9-12
CA,Other,high,2010-09-24,571.16,1,Grades PreK-2
CA,Other,high,2010-09-24,571.16,4,Grades PreK-2
CA,Books,high,2010-05-27,195.72,1,Grades 3-5
CA,Supplies,low,2010-10-10,209.2,1,Grades PreK-2
CA,Supplies,high,2010-10-07,509.79,1,Grades 6-8
CA,Supplies,high,2010-10-07,509.79,1,Grades 6-8
CA,Technology,high,2010-10-17,188.09,1,Grades PreK-2
CA,Other,high,2010-10-20,514.76,1,Grades PreK-2
CA,Other,high,2010-10-20,514.76,1,Grades PreK-2
NY,Technology,high,2010-09-25,165.0,2,Grades 3-5
CA,Supplies,high,2010-09-25,187.99,1,Grades 6-8
CA,Technology,high,2010-09-25,700.42,1,Grades 6-8
CA,Technology,high,2010-09-25,700.42,1,Grades 6-8
NY,Supplies,high,2010-09-24,667.31,1,Grades PreK-2
CA,Supplies,high,2010-09-24,667.31,1,Grades PreK-2
NV,Supplies,low,2010-09-10,527.79,1,Grades 9-12
CA,Supplies,low,2010-09-10,527.79,1,Grades 9-12
CA,Supplies,low,2010-09-10,527.79,2,Grades 9-12
CA,Books,high,2010-09-28,170.0,2,Grades PreK-2
FL,Books,high,2010-10-08,326.81,1,Grades PreK-2
CA,Technology,low,2010-09-10,45.0,1,Grades 6-8
CA,Technology,low,2010-09-10,45.0,1,Grades 6-8
CA,Supplies,high,2010-10-12,171.69,1,Grades 3-5
CA,Books,low,2010-09-22,553.08,1,Grades PreK-2
CA,Books,low,2010-09-22,553.08,1,Grades PreK-2
CA,Supplies,high,2010-10-16,534.73,1,Grades 3-5
CA,Other,high,2010-08-31,548.75,1,Grades 9-12
TX,Other,high,2010-08-31,548.75,3,Grades 9-12
CA,Technology,high,2010-10-10,25.0,2,Grades 9-12
CA,Other,high,2010-10-13,188.27,1,Grades 3-5
CA,Books,high,2010-10-07,494.36,1,Grades 6-8
CA,Books,high,2010-10-07,494.36,1,Grades 6-8
CA,Books,high,2010-10-07,494.36,2,Grades 6-8
CA,Books,high,2010-10-17,205.04,1,Grades PreK-2
CA,Books,low,2010-10-18,297.64,1,Grades PreK-2
CA,Books,high,2010-10-10,414.15,1,Grades 3-5
CA,Books,high,2010-10-10,414.15,1,Grades 3-5
CA,Supplies,high,2010-09-21,518.67,1,Grades 6-8
CA,Supplies,high,2010-09-21,518.67,1,Grades 6-8
CA,Other,low,2010-09-12,327.09,1,Grades PreK-2
CA,Books,high,2010-10-16,190.38,1,Grades PreK-2
CA,Books,high,2010-10-16,190.38,1,Grades PreK-2
CA,Books,high,2010-10-04,508.95,1,Grades PreK-2
CA,Books,high,2010-10-04,508.95,1,Grades PreK-2
CA,Technology,high,2010-10-12,938.54,1,Grades 9-12
CA,Technology,high,2010-10-12,938.54,1,Grades 9-12
CA,Other,low,2010-09-29,362.35,1,Grades PreK-2
CA,Supplies,high,2010-09-21,335.22,1,Grades 3-5
CA,Technology,low,2010-09-08,275.0,1,Grades 6-8
CA,Other,high,2010-06-16,385.21,1,Grades 3-5
CA,Supplies,high,2010-08-30,65.0,2,Grades 3-5
CA,Technology,low,2010-05-21,392.32,1,Grades PreK-2
CA,Other,minimal,2010-09-22,557.05,1,Grades PreK-2
CA,Other,minimal,2010-09-22,557.05,1,Grades PreK-2
CA,Other,low,2010-08-17,163.07,1,Grades PreK-2
CA,Books,high,2010-09-04,761.22,1,Grades 6-8
CA,Books,high,2010-10-10,728.52,1,Grades 9-12
CA,Other,high,2010-10-17,268.76,1,Grades PreK-2
CA,Technology,high,2010-10-03,958.83,1,Grades 3-5
CA,Technology,low,2010-08-17,2431.94,1,Grades PreK-2
CA,Other,high,2010-10-17,205.92,1,Grades PreK-2
CA,Supplies,high,2010-10-17,175.8,1,Grades PreK-2
CA,Books,high,2010-10-01,401.62,1,Grades PreK-2
CA,Books,high,2010-10-01,401.62,1,Grades PreK-2
CA,Books,high,2010-10-01,401.62,1,Grades PreK-2
CA,Supplies,high,2010-09-08,603.76,1,Grades 9-12
CA,Supplies,high,2010-09-08,603.76,1,Grades 9-12
CA,Supplies,low,2010-10-04,1138.93,1,Grades 3-5
CA,Supplies,high,2010-09-29,161.02,1,Grades PreK-2
CA,Technology,high,2010-10-07,960.93,1,Grades 6-8
CA,Books,high,2010-10-17,184.54,1,Grades 6-8
CA,Books,high,2010-08-07,174.68,1,Grades PreK-2
CA,Books,high,2010-08-07,174.68,1,Grades PreK-2
CA,Supplies,high,2010-09-30,422.02,1,Grades 3-5
CA,Supplies,high,2010-09-30,422.02,1,Grades 3-5
CA,Technology,high,2010-10-06,809.53,1,Grades 3-5
CA,Technology,high,2010-10-06,809.53,2,Grades 3-5
CA,Supplies,high,2010-09-28,332.17,1,Grades PreK-2
CA,Technology,high,2010-09-20,678.12,1,Grades 6-8
CA,Supplies,high,2010-10-07,996.84,1,Grades 9-12
CA,Supplies,high,2010-09-05,1087.71,1,Grades 9-12
CA,Technology,high,2010-09-23,945.38,1,Grades 6-8
CA,Technology,high,2010-09-23,945.38,1,Grades 6-8
CA,Technology,high,2010-09-23,945.38,1,Grades 6-8
NC,Technology,low,2010-08-22,802.69,1,Grades PreK-2
TX,Books,high,2010-10-10,532.45,1,Grades 6-8
CA,Supplies,high,2010-08-12,591.25,1,Grades 6-8
CA,Supplies,high,2010-10-09,358.72,1,Grades PreK-2
CA,Supplies,high,2010-10-09,358.72,1,Grades PreK-2
CA,Supplies,high,2010-10-09,358.72,1,Grades PreK-2
CA,Books,low,2010-10-06,434.0,1,Grades PreK-2
CA,Books,low,2010-10-06,434.0,1,Grades PreK-2
CA,Books,low,2010-10-06,434.0,1,Grades PreK-2
CA,Books,low,2010-10-06,434.0,1,Grades PreK-2
CA,Books,high,2010-10-01,331.34,1,Grades PreK-2
CA,Books,high,2010-10-01,331.34,1,Grades PreK-2
CA,Books,high,2010-10-01,331.34,1,Grades PreK-2
AZ,Supplies,high,2010-10-09,190.71,1,Grades 3-5
CA,Supplies,high,2010-06-02,1067.45,1,Grades 9-12
CA,Supplies,high,2010-06-30,809.03,1,Grades 6-8
CA,Books,high,2010-08-31,401.64,1,Grades PreK-2
CA,Supplies,high,2010-06-28,472.14,1,Grades PreK-2
CA,Supplies,high,2010-06-28,472.14,1,Grades PreK-2
CA,Technology,high,2010-10-12,150.0,1,Grades 9-12
CA,Other,low,2010-08-23,440.28,1,Grades PreK-2
CA,Other,high,2010-09-24,456.81,1,Grades 9-12
CA,Books,high,2010-09-16,1020.06,1,Grades 3-5
CA,Technology,high,2010-10-10,644.11,1,Grades 9-12
CA,Technology,high,2010-10-10,644.11,2,Grades 9-12
CA,Technology,high,2010-10-10,644.11,1,Grades 9-12
CA,Supplies,high,2010-08-02,880.88,1,Grades 3-5
CA,Supplies,low,2010-07-30,307.4,1,Grades PreK-2
CA,Other,high,2010-06-12,365.72,1,Grades 3-5
CA,Supplies,high,2010-09-30,518.2,1,Grades PreK-2
CA,Supplies,high,2010-08-06,463.1,1,Grades PreK-2
CA,Supplies,high,2010-10-10,411.24,1,Grades 3-5
CA,Supplies,high,2010-09-06,407.55,1,Grades 3-5
CA,Supplies,high,2010-08-30,359.87,1,Grades 3-5
CA,Supplies,high,2010-08-30,359.87,1,Grades 3-5
CA,Supplies,high,2010-09-01,492.85,1,Grades PreK-2
CA,Other,low,2010-09-23,434.46,1,Grades 9-12
CA,Supplies,high,2010-10-07,549.94,1,Grades PreK-2
NY,Supplies,high,2010-10-07,549.94,2,Grades PreK-2
CA,Supplies,high,2010-10-07,549.94,1,Grades PreK-2
CA,Supplies,high,2010-10-07,207.23,2,Grades 9-12
CA,Technology,minimal,2010-08-31,551.74,1,Grades 6-8
CA,Technology,high,2010-09-16,35.0,1,Grades 3-5
CA,Books,low,2010-10-05,704.78,1,Grades PreK-2
CA,Books,low,2010-10-05,704.78,1,Grades PreK-2
CA,Supplies,high,2010-09-29,550.52,2,Grades 3-5
CA,Technology,high,2010-10-05,445.66,1,Grades 3-5
CA,Technology,high,2010-10-05,445.66,1,Grades 3-5
CA,Technology,high,2010-08-27,578.99,1,Grades PreK-2
CA,Books,high,2010-09-15,377.69,1,Grades PreK-2
CA,Technology,high,2010-06-15,724.57,1,Grades 3-5
CA,Technology,high,2010-06-15,724.57,1,Grades 3-5
FL,Technology,high,2010-06-15,724.57,1,Grades 3-5
CA,Technology,high,2010-06-15,724.57,1,Grades 3-5
CA,Supplies,high,2010-09-05,374.33,1,Grades PreK-2
CA,Supplies,high,2010-09-05,346.73,1,Grades PreK-2
CA,Books,high,2010-10-06,683.57,8,Grades 3-5
CA,Supplies,high,2010-09-29,684.92,1,Grades 6-8
CA,Supplies,high,2010-09-29,684.92,1,Grades 6-8
